modality,model_name,split,scenario_id,confusion_pair,residual_mechanism,recovery_route,n_high_conf_errors,mean_confidence,mean_risk,mean_sensor_confidence,mean_path_blocked_score
fusion,class_weighted_focal_scan_depth_goal,test,external_path_blockage,SOUTH->EAST,blocked_path_high_conf_direction_error,REPLAN,4,0.9265911425,0.2756,0.92,0.72
fusion,class_weighted_focal_scan_depth_goal,test,perception_degradation,WEST->NORTH,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,4,0.99884683,0.1926,0.16,0.05
scan,baseline_scan_goal,test,perception_degradation,WEST->NORTH,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,4,0.996411225,0.1926,0.16,0.05
scan,class_weighted_focal_scan_goal,test,perception_degradation,WEST->NORTH,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,4,0.992274485,0.1926,0.16,0.05
fusion,baseline_scan_depth_goal,test,external_path_blockage,SOUTH->EAST,blocked_path_high_conf_direction_error,REPLAN,3,0.9573609566666667,0.2756,0.92,0.7200000000000001
fusion,baseline_scan_depth_goal,test,nominal,NORTH->WEST,boundary_direction_confusion,CAUTIOUS_MODE,3,0.9560057766666666,0.071,0.92,0.05000000000000001
scan,baseline_scan_goal,test,external_path_blockage,SOUTH->EAST,blocked_path_high_conf_direction_error,REPLAN,3,0.9288276099999999,0.2756,0.92,0.7200000000000001
depth,baseline_depth_goal,test,nominal,NORTH->WEST,boundary_direction_confusion,CAUTIOUS_MODE,2,0.98824265,0.071,0.92,0.05
depth,baseline_depth_goal,test,perception_degradation,WEST->SOUTH,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,2,0.999692215,0.1926,0.16,0.05
fusion,baseline_scan_depth_goal,test,external_path_blockage,SOUTH->WEST,blocked_path_high_conf_direction_error,REPLAN,2,0.94335072,0.2756,0.92,0.72
fusion,baseline_scan_depth_goal,test,perception_degradation,WEST->SOUTH,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,2,0.99997395,0.1926,0.16,0.05
fusion,class_weighted_focal_scan_depth_goal,test,perception_degradation,WEST->SOUTH,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,2,0.944493145,0.1926,0.16,0.05
scan,baseline_scan_goal,test,nominal,NORTH->WEST,boundary_direction_confusion,CAUTIOUS_MODE,2,0.9542990499999999,0.071,0.92,0.05
scan,baseline_scan_goal,test,perception_degradation,WEST->SOUTH,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,2,0.99987912,0.1926,0.16,0.05
scan,class_weighted_focal_scan_goal,test,perception_degradation,WEST->SOUTH,perception_lateral_depth_confusion,CAUTIOUS_REPLAN,2,0.972129195,0.1926,0.16,0.05
fusion,baseline_scan_depth_goal,test,nominal,SOUTH->EAST,geometric_policy_residual,HUMAN_REVIEW,1,0.92767674,0.071,0.92,0.05
